                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "48b8e84"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260412"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                    log_L                                 log_Teff                                     Teff                                    log_R                                    log_g                                star_mass                             log_abs_mdot                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                               surface_h1                              surface_he4                              surface_c12                              surface_o16                              surface_n14                       surf_c12_minus_o16                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                       phase_of_evolution                                rel_E_err                        log_rel_run_E_err                              num_retries                                num_iters   Mag_bol   Flux_bol   Interp_rad   B   I   J   M   R   U   V
                                      52                                      514                  5.5403371099987198E-001                 -1.2673352043760113E+000                  3.3187370335208461E+000                  3.6666776401009682E+000                  4.6417061153553113E+003                  1.8486663974229840E+000                  1.5858328724560944E+000                  6.9999999997529487E+000                 -8.3398755469783836E+000                  5.8553692313190213E+000                 -3.7225786106139727E+000                  1.0293482253876668E+001                  7.5700000000000012E-001                  2.4197424632953304E-001                  1.7234416803928868E-004                  4.6797044775657412E-004                  5.0517137046674726E-005                  7.5700000000000012E-001                  2.4197424632953290E-001                  1.7234416803928868E-004                  4.6797044775657390E-004                  5.0517137046674706E-005                 -2.9562627971728526E-004                 -1.4957213689647597E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4957213689647597E+001                 -1.4957213689647597E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999873284746765E-001                  3.3684489300710677E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.0705761845651443E-013                 -1.2390344112625826E+001                                        0                                        5   7.941683E+00   6.657741E-04   7.728243E-02   -2.178072E+00   -4.356180E+00   -4.976695E+00   -5.662636E+00   -3.846798E+00   -1.556809E+00   -3.179483E+00
                                      53                                      511                  6.1887416419971830E-001                 -1.1881539583283867E+000                  3.3172246605716293E+000                  3.6663398650098205E+000                  4.6380974046159427E+003                  1.8485857611306713E+000                  1.5859941450238204E+000                  6.9999999994805648E+000                 -8.3766646133911191E+000                  5.8553745741331147E+000                 -3.7225598051374922E+000                  1.0293506306980932E+001                  7.5700000000000012E-001                  2.4197424632953304E-001                  1.7234416803928868E-004                  4.6797044775657412E-004                  5.0517137046674726E-005                  7.5700000000000023E-001                  2.4197424632953288E-001                  1.7234416803928868E-004                  4.6797044775657390E-004                  5.0517137046674706E-005                 -2.9562627971728526E-004                 -1.4957125047657197E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4957125047657197E+001                 -1.4957125047657197E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.5211325075667724E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.9838599673646839E-013                 -1.2093968745841270E+001                                        0                                        3   7.945461E+00   6.634613E-04   7.729198E-02   -2.170786E+00   -4.352338E+00   -4.973900E+00   -5.660933E+00   -3.842230E+00   -1.546158E+00   -3.173964E+00
                                      54                                      510                  6.9668270803953392E-001                 -1.1089727122807618E+000                  3.3169878599724578E+000                  3.6662981732862994E+000                  4.6376521744751972E+003                  1.8485507442781277E+000                  1.5860641787087029E+000                  6.9999999991549009E+000                 -8.3782576226157470E+000                  5.8553810048171968E+000                 -3.7225372045716867E+000                  1.0293535224832057E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674733E-005                  7.5700000000000012E-001                  2.4197424632953288E-001                  1.7234416803928868E-004                  4.6797044775657390E-004                  5.0517137046674699E-005                 -2.9562627971728526E-004                 -1.4957017670002770E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4957017670002770E+001                 -1.4957017670002770E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116405727267E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.9006694711101030E-013                 -1.1922455420870527E+001                                        0                                        2   7.946053E+00   6.630999E-04   7.729540E-02   -2.169765E+00   -4.351737E+00   -4.973429E+00   -5.660598E+00   -3.841540E+00   -1.544731E+00   -3.173157E+00
                                      55                                      510                  7.9005296064731256E-001                 -1.0297914662331369E+000                  3.3169024752723151E+000                  3.6662884077125262E+000                  4.6375478931012794E+003                  1.8485275830756027E+000                  1.5861105010895220E+000                  6.9999999987643484E+000                 -8.3785294400472559E+000                  5.8553887487712242E+000                 -3.7225100420931954E+000                  1.0293569996550652E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674733E-005                  7.5700000000000023E-001                  2.4197424632953290E-001                  1.7234416803928868E-004                  4.6797044775657385E-004                  5.0517137046674693E-005                 -2.9562627971728515E-004                 -1.4956887524219823E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4956887524219823E+001                 -1.4956887524219823E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116407755776E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  4.0172688468106553E-013                 -1.1796645419907014E+001                                        0                                        2   7.946266E+00   6.629696E-04   7.729753E-02   -2.169453E+00   -4.351521E+00   -4.973243E+00   -5.660444E+00   -3.841303E+00   -1.544331E+00   -3.172894E+00
                                      56                                      510                  9.0209726377664701E-001                 -9.5061022018551222E-001                  3.3168530339682993E+000                  3.6662857354672109E+000                  4.6375193580219229E+003                  1.8485082069142238E+000                  1.5861492533832100E+000                  6.9999999982958023E+000                 -8.3786379859256943E+000                  5.8553980740695808E+000                 -3.7224773916116307E+000                  1.0293611812127011E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674733E-005                  7.5700000000000034E-001                  2.4197424632953290E-001                  1.7234416803928870E-004                  4.6797044775657390E-004                  5.0517137046674699E-005                 -2.9562627971728520E-004                 -1.4956729845969136E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4956729845969136E+001                 -1.4956729845969136E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116410186929E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  4.0277546100924482E-013                 -1.1698989713948054E+001                                        0                                        2   7.946390E+00   6.628941E-04   7.729928E-02   -2.169304E+00   -4.351396E+00   -4.973127E+00   -5.660337E+00   -3.841172E+00   -1.544163E+00   -3.172757E+00
                                      57                                      510                  1.0365504275318485E+000                 -8.7142897413788734E-001                  3.3168142503094127E+000                  3.6662853402231761E+000                  4.6375151374962097E+003                  1.8484896055728504E+000                  1.5861864560310790E+000                  6.9999999977336369E+000                 -8.3787068033620180E+000                  5.8554093202552524E+000                 -3.7224381196248371E+000                  1.0293662140676913E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657412E-004                  5.0517137046674726E-005                  7.5700000000000023E-001                  2.4197424632953290E-001                  1.7234416803928868E-004                  4.6797044775657390E-004                  5.0517137046674693E-005                 -2.9562627971728526E-004                 -1.4956538945683809E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4956538945683809E+001                 -1.4956538945683809E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116413104185E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.7429515040341974E-013                 -1.1624495325277127E+001                                        0                                        2   7.946486E+00   6.628350E-04   7.730094E-02   -2.169206E+00   -4.351298E+00   -4.973030E+00   -5.660243E+00   -3.841074E+00   -1.544069E+00   -3.172658E+00
                                      58                                      510                  1.1978942240380899E+000                 -7.9224772809026256E-001                  3.3167779415785970E+000                  3.6662859633954343E+000                  4.6375217919046190E+003                  1.8484702048629267E+000                  1.5862252574090785E+000                  6.9999999970591276E+000                 -8.3787641883274002E+000                  5.8554229080874416E+000                 -3.7223908374841495E+000                  1.0293722787288644E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674733E-005                  7.5700000000000023E-001                  2.4197424632953290E-001                  1.7234416803928873E-004                  4.6797044775657390E-004                  5.0517137046674699E-005                 -2.9562627971728515E-004                 -1.4956308148983458E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4956308148983458E+001                 -1.4956308148983458E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116416605461E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.9054396447313205E-013                 -1.1558372349166925E+001                                        0                                        2   7.946577E+00   6.627795E-04   7.730267E-02   -2.169125E+00   -4.351207E+00   -4.972937E+00   -5.660148E+00   -3.840984E+00   -1.544001E+00   -3.172571E+00
                                      59                                      510                  1.3915067798455796E+000                 -7.1306648204263778E-001                  3.3167402966706292E+000                  3.6662872040339378E+000                  4.6375350398194660E+003                  1.8484489011319354E+000                  1.5862678648208501E+000                  6.9999999962498194E+000                 -8.3788198977262915E+000                  5.8554393511887444E+000                 -3.7223338695391077E+000                  1.0293795936632439E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674733E-005                  7.5700000000000012E-001                  2.4197424632953290E-001                  1.7234416803928870E-004                  4.6797044775657380E-004                  5.0517137046674686E-005                 -2.9562627971728509E-004                 -1.4956029707870496E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4956029707870496E+001                 -1.4956029707870496E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116420807801E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8928581540704231E-013                 -1.1501178229727779E+001                                        0                                        2   7.946671E+00   6.627221E-04   7.730456E-02   -2.169047E+00   -4.351112E+00   -4.972838E+00   -5.660047E+00   -3.840892E+00   -1.543945E+00   -3.172483E+00
                                      60                                      510                  1.6238418468145674E+000                 -6.3388523599501301E-001                  3.3166988675343738E+000                  3.6662889315118408E+000                  4.6375534864163537E+003                  1.8484247316080025E+000                  1.5863162038084704E+000                  6.9999999952787819E+000                 -8.3788788463150397E+000                  5.8554592578654123E+000                 -3.7222652162773500E+000                  1.0293884190561297E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657412E-004                  5.0517137046674726E-005                  7.5700000000000034E-001                  2.4197424632953290E-001                  1.7234416803928873E-004                  4.6797044775657390E-004                  5.0517137046674693E-005                 -2.9562627971728515E-004                 -1.4955694568283407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4955694568283407E+001                 -1.4955694568283407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116425845743E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.7706357824868986E-013                 -1.1452154713498270E+001                                        0                                        2   7.946775E+00   6.626589E-04   7.730671E-02   -2.168965E+00   -4.351007E+00   -4.972728E+00   -5.659932E+00   -3.840791E+00   -1.543890E+00   -3.172389E+00
                                      61                                      510                  1.9026439271773530E+000                 -5.5470398994738812E-001                  3.3166516352525499E+000                  3.6662911245970551E+000                  4.6375769050322597E+003                  1.8483967292966623E+000                  1.5863722083588678E+000                  6.9999999941137130E+000                 -8.3789444449149837E+000                  5.8554833370171941E+000                 -3.7221825142148575E+000                  1.0293990613361638E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674733E-005                  7.5700000000000012E-001                  2.4197424632953290E-001                  1.7234416803928876E-004                  4.6797044775657374E-004                  5.0517137046674686E-005                 -2.9562627971728498E-004                 -1.4955291961523605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4955291961523605E+001                 -1.4955291961523605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116431892392E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8304482871682835E-013                 -1.1407451307512410E+001                                        0                                        2   7.946893E+00   6.625868E-04   7.730919E-02   -2.168874E+00   -4.350888E+00   -4.972603E+00   -5.659801E+00   -3.840677E+00   -1.543832E+00   -3.172282E+00
